Line	MessageNo	File Name
0	1	mikroCPIC1618.exe -MSF -DBG -pP16F877A -GC -DL -O11111115 -fo4 -N"C:\Users\paulo\temp\microcontroladorPOS\c\mikroC\proj_agv123_pro2009\proj_agv123.mcppi" -SP"C:\Program Files (x86)\Mikroelektronika\mikroC PRO for PIC\defs\" -SP"C:\Program Files (x86)\Mikroelektronika\mikroC PRO for PIC\Uses\P16\" -SP"C:\Users\paulo\temp\microcontroladorPOS\c\mikroC\proj_agv123_pro2009\" -SP"C:\Arquivos de programas\Mikroelektronika\mikroC PRO for PIC\defs\" -SP"C:\Arquivos de programas\Mikroelektronika\mikroC PRO for PIC\Uses\P16\" -SP"C:\temp\proj_agv123_pro2009\" -SP"C:\Program Files\Mikroelektronika\mikroC PRO for PIC\defs\" -SP"C:\Program Files\Mikroelektronika\mikroC PRO for PIC\Uses\P16\" -SP"C:\temp\microcontroladorPOS\c\mikroC\proj_agv123_pro2009\" "proj_agv123.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_CType.mcl" "__Lib_CString.mcl" "__Lib_CStdlib.mcl" "__Lib_CMath.mcl" "__Lib_Conversions.mcl" "__Lib_Sprinti.mcl" "__Lib_Sprintl.mcl" "__Lib_Time.mcl" "__Lib_Trigonometry.mcl" "__Lib_Button.mcl" "__Lib_Keypad4x4.mcl" "__Lib_Manchester.mcl" "__Lib_OneWire.mcl" "__Lib_PS2.mcl" "__Lib_Sound.mcl" "__Lib_SoftI2C.mcl" "__Lib_SoftSPI.mcl" "__Lib_SoftUART.mcl" "__Lib_ADC_A_C.mcl" "__Lib_EEPROM.mcl" "__Lib_FLASH_RW.mcl" "__Lib_I2C_c34.mcl" "__Lib_PWM_c21.mcl" "__Lib_SPI_c345.mcl" "__Lib_UART_c67.mcl" "__Lib_PortExpander.mcl" "__Lib_CANSPI.mcl" "__Lib_CF.mcl" "__Lib_GlcdFonts.mcl" "__Lib_Glcd.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl" "__Lib_RS485.mcl" "__Lib_T6963C.mcl" "__Lib_SPIGlcd.mcl" "__Lib_SPILcd.mcl" "__Lib_SPILcd8.mcl" "__Lib_SPIT6963C.mcl" "__Lib_EthEnc28j60.mcl"	 
warning: 0	1501	Specified search path does not exist: 'C:\Arquivos de programas\Mikroelektronika\mikroC PRO for PIC\defs'	 
warning: 0	1501	Specified search path does not exist: 'C:\Arquivos de programas\Mikroelektronika\mikroC PRO for PIC\Uses\P16'	 
warning: 0	1501	Specified search path does not exist: 'C:\temp\proj_agv123_pro2009'	 
warning: 0	1501	Specified search path does not exist: 'C:\Program Files\Mikroelektronika\mikroC PRO for PIC\defs'	 
warning: 0	1501	Specified search path does not exist: 'C:\Program Files\Mikroelektronika\mikroC PRO for PIC\Uses\P16'	 
warning: 0	1501	Specified search path does not exist: 'C:\temp\microcontroladorPOS\c\mikroC\proj_agv123_pro2009'	 
hint: 0	1138	Available RAM: 352 [bytes], Available ROM: 8192 [bytes]	 
diagnostics: 0	122	Compilation Started	__Lib_Delays.c
diagnostics: 115	123	Compiled Successfully	__Lib_Delays.c
diagnostics: 0	126	All files Preprocessed in 62 ms	 
diagnostics: 0	122	Compilation Started	proj_agv123.c
warning: 85	1509	Generated baud rate is 9615 bps (error = 0.16 percent)	proj_agv123.c
diagnostics: 233	123	Compiled Successfully	proj_agv123.c
hint: 217	1162	Variable 'convert' has been eliminated by optimizer	proj_agv123.c
diagnostics: 0	127	All files Compiled in 343 ms	 
hint: 0	1143	Used RAM (bytes): 80 (23%)  Free RAM (bytes): 272 (77%)	Used RAM (bytes): 80 (23%)  Free RAM (bytes): 272 (77%)
hint: 0	1143	Used ROM (program words): 2095 (26%)  Free ROM (program words): 6097 (74%)	Used ROM (program words): 2095 (26%)  Free ROM (program words): 6097 (74%)
diagnostics: 0	125	Project Linked Successfully	proj_agv123.mcppi
hint: 0	1004	COFF file successfully generated	COFF file successfully generated
diagnostics: 0	128	Linked in 2403 ms	 
diagnostics: 0	129	Project 'proj_agv123.mcppi' completed: 4119 ms	 
diagnostics: 0	103	Finished successfully: 30 out 2010, 16:07:17	proj_agv123.mcppi
