Line	MessageNo	File Name
0	1	mikroCPIC1618.exe -MSF -DBG -pP18F4550 -GC -DL -O11111115 -fo20 -N"C:\Users\paulo\temp\microcontroladorPOS\c\mikroC\teste_18f4550\teste_18f4550.mcppi" -SP"C:\Program Files (x86)\Mikroelektronika\mikroC PRO for PIC\defs\" -SP"C:\Program Files (x86)\Mikroelektronika\mikroC PRO for PIC\uses\P18\" -SP"C:\Users\paulo\temp\microcontroladorPOS\c\mikroC\teste_18f4550\" -SP"C:\MCHPUSB\USB Device - Bootloaders\HID - Bootloader\HID Bootloader - Firmware for PIC18 Non-J Devices\" "teste_18f4550.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl"	 
hint: 0	1138	Available RAM: 2027 [bytes], Available ROM: 32768 [bytes]	 
diagnostics: 0	126	All files Preprocessed in 78 ms	 
diagnostics: 0	122	Compilation Started	teste_18f4550.c
diagnostics: 42	123	Compiled Successfully	teste_18f4550.c
diagnostics: 0	127	All files Compiled in 110 ms	 
hint: 0	1143	Used RAM (bytes): 0 (1%)  Free RAM (bytes): 2027 (99%)	Used RAM (bytes): 0 (1%)  Free RAM (bytes): 2027 (99%)
hint: 0	1143	Used ROM (bytes): 46 (1%)  Free ROM (bytes): 32722 (99%)	Used ROM (bytes): 46 (1%)  Free ROM (bytes): 32722 (99%)
diagnostics: 0	125	Project Linked Successfully	teste_18f4550.mcppi
hint: 0	1004	COFF file successfully generated	COFF file successfully generated
diagnostics: 0	128	Linked in 1232 ms	 
diagnostics: 0	129	Project 'teste_18f4550.mcppi' completed: 1685 ms	 
diagnostics: 0	103	Finished successfully: 02 out 2010, 18:09:52	teste_18f4550.mcppi
